date,weekday,state_fips,state_name,state_code,covid,submetric,metric,n_grade,grade,last_updated
2020-03-27,6,10,Delaware,DE,POST,visitations,-0.6317679607636818,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,10,Delaware,DE,POST,total,-0.51999647360789025,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,10,Delaware,DE,POST,travel distance,-0.40822498645209865,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,12,Florida,FL,POST,visitations,-0.63681981674454546,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,12,Florida,FL,POST,total,-0.53067276416791187,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,12,Florida,FL,POST,travel distance,-0.42452571159127839,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,13,Georgia,GA,POST,visitations,-0.55922798364781534,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,13,Georgia,GA,POST,total,-0.4538893180977539,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,13,Georgia,GA,POST,travel distance,-0.34855065254769246,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,15,Hawaii,HI,POST,visitations,-0.65461949146390641,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,15,Hawaii,HI,POST,travel distance,-0.60912329592733339,4,B,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,15,Hawaii,HI,POST,total,-0.63187139369562,4,B,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,19,Iowa,IA,POST,visitations,-0.58093074222087737,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,19,Iowa,IA,POST,total,-0.4490872377952978,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,19,Iowa,IA,POST,travel distance,-0.31724373336971817,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,16,Idaho,ID,POST,visitations,-0.59057159587478314,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,16,Idaho,ID,POST,total,-0.47247114049602668,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,16,Idaho,ID,POST,travel distance,-0.35437068511727016,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,17,Illinois,IL,POST,visitations,-0.65266574599108307,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,17,Illinois,IL,POST,total,-0.53168037070071728,3.5,B-,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,17,Illinois,IL,POST,travel distance,-0.41069499541035154,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,18,Indiana,IN,POST,visitations,-0.61967970259611616,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,18,Indiana,IN,POST,total,-0.49784503822131621,2.5,C-,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,18,Indiana,IN,POST,travel distance,-0.3760103738465162,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,20,Kansas,KS,POST,visitations,-0.58094512178531454,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,20,Kansas,KS,POST,total,-0.48796175880406767,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,20,Kansas,KS,POST,travel distance,-0.39497839582282074,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,21,Kentucky,KY,POST,visitations,-0.54118804635421525,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,21,Kentucky,KY,POST,total,-0.43713137110835143,1.5,D-,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,21,Kentucky,KY,POST,travel distance,-0.33307469586248761,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,22,Louisiana,LA,POST,visitations,-0.61060084608332466,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,22,Louisiana,LA,POST,total,-0.512010081852535,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,22,Louisiana,LA,POST,travel distance,-0.41341931762174533,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,25,Massachusetts,MA,POST,visitations,-0.65786658366392736,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,25,Massachusetts,MA,POST,total,-0.58340419372223107,3.5,B-,2020-03-31 15:21:02.613002 UTC
